id,type,href,ike_dist,price,land_area,house_area,BCR,FAR,nearest_station,station_dist,age,can_not_be_rebuilt,affordable
b-1225480000687,中古一戸建て,https://www.homes.co.jp/kodate/b-1225480000687/,29,3600.0,91.82,103.16,,,浮間舟渡,10,35.0,False,1
b-1342720022770,新築一戸建て,https://www.homes.co.jp/kodate/b-1342720022770/,40,3660.0,126.96,99.77,,,狭山ヶ丘,3,,False,1
b-17062460000121,土地,https://www.homes.co.jp/tochi/b-17062460000121/,25,3680.0,49.16,,80,300.0,地下鉄赤塚,7,,False,1
b-1370090000222,中古一戸建て,https://www.homes.co.jp/kodate/b-1370090000222/,16,3680.0,47.73,47.79,,,茗荷谷,5,61.0,False,1
b-1000980064198,土地,https://www.homes.co.jp/tochi/b-1000980064198/,38,3680.0,116.9,,40,80.0,保谷,15,,False,1
b-1448700000147,土地,https://www.homes.co.jp/tochi/b-1448700000147/,33,3680.0,118.64,,40,80.0,ひばりヶ丘,10,,False,1
b-1000980063003,土地,https://www.homes.co.jp/tochi/b-1000980063003/,38,3680.0,100.01,,60,200.0,所沢,8,,False,1
b-88550014284,土地,https://www.homes.co.jp/tochi/b-88550014284/,39,3680.0,142.74,,50,100.0,清瀬,9,,False,1
b-37051720001994,中古一戸建て,https://www.homes.co.jp/kodate/b-37051720001994/,40,3700.0,57.72,79.48,,,鶴瀬,5,5.0,False,1
b-1443180000005,中古一戸建て,https://www.homes.co.jp/kodate/b-1443180000005/,11,3700.0,30.35,44.54,,,北池袋,10,19.0,False,1
b-89340000871,土地,https://www.homes.co.jp/tochi/b-89340000871/,20,3700.0,50.98,,80,240.0,新庚申塚,1,,False,1
b-17002960000466,新築一戸建て,https://www.homes.co.jp/kodate/b-17002960000466/,37,3780.0,66.0,106.14,60,200.0,ひばりヶ丘,14,,False,1
b-1191550004745,中古一戸建て,https://www.homes.co.jp/kodate/b-1191550004745/,29,3780.0,39.25,62.49,,,地下鉄成増,9,8.0,False,1
b-1062360004395,新築一戸建て,https://www.homes.co.jp/kodate/b-1062360004395/,37,3780.0,66.0,106.14,,,ひばりヶ丘,14,,False,1
b-1309740000431,中古一戸建て,https://www.homes.co.jp/kodate/b-1309740000431/,34,3780.0,65.51,91.49,,,東武練馬,12,17.0,False,1
b-1309740000411,中古一戸建て,https://www.homes.co.jp/kodate/b-1309740000411/,30,3780.0,47.93,109.95,,,成増,12,28.0,False,1
b-1388540002796,土地,https://www.homes.co.jp/tochi/b-1388540002796/,26,3800.0,97.88,,60,200.0,小竹向原,14,,False,1
b-1388540004589,中古一戸建て,https://www.homes.co.jp/kodate/b-1388540004589/,9,3880.0,33.31,38.34,,,要町,1,41.0,False,1
b-1252630007898,中古一戸建て,https://www.homes.co.jp/kodate/b-1252630007898/,9,3880.0,33.31,38.34,,,要町,1,41.0,True,1
b-90640000339,中古一戸建て,https://www.homes.co.jp/kodate/b-90640000339/,39,3880.0,126.32,75.76,,,東久留米,11,38.0,False,1
b-1271630001758,土地,https://www.homes.co.jp/tochi/b-1271630001758/,33,3880.0,172.0,,60,100.0,和光市,12,,False,1
b-8110129417,中古一戸建て,https://www.homes.co.jp/kodate/b-8110129417/,38,3890.0,51.4,79.14,,,中浦和,7,11.0,False,1
